hpo_id,maxo_label
HP:0100303,biopsy of muscle tissue
HP:0100304,biopsy of muscle tissue
HP:0100301,biopsy of muscle tissue
HP:0010602,biopsy of muscle tissue
HP:0100302,biopsy of muscle tissue
HP:0100305,biopsy of muscle tissue
HP:0100306,biopsy of muscle tissue
HP:0031542,biopsy of muscle tissue
HP:0030224,biopsy of muscle tissue
HP:0030225,biopsy of muscle tissue
HP:0030226,biopsy of muscle tissue
HP:0030227,biopsy of muscle tissue
HP:0100293,biopsy of muscle tissue
HP:0030229,biopsy of muscle tissue
HP:0100295,biopsy of muscle tissue
HP:0100296,biopsy of muscle tissue
HP:0100297,biopsy of muscle tissue
HP:0100298,biopsy of muscle tissue
HP:0100299,biopsy of muscle tissue
HP:0030228,biopsy of muscle tissue
HP:0003713,biopsy of muscle tissue
HP:0012084,biopsy of muscle tissue
HP:0034508,biopsy of muscle tissue
HP:0034509,biopsy of muscle tissue
HP:0011807,biopsy of muscle tissue
HP:0030230,biopsy of muscle tissue
HP:0030100,biopsy of muscle tissue
HP:0030101,biopsy of muscle tissue
HP:0030102,biopsy of muscle tissue
HP:0030103,biopsy of muscle tissue
HP:0030104,biopsy of muscle tissue
HP:0030105,biopsy of muscle tissue
HP:0030106,biopsy of muscle tissue
HP:0030107,biopsy of muscle tissue
HP:0030108,biopsy of muscle tissue
HP:0030109,biopsy of muscle tissue
HP:0025717,biopsy of muscle tissue
HP:0030089,biopsy of muscle tissue
HP:0030090,biopsy of muscle tissue
HP:0030091,biopsy of muscle tissue
HP:0030092,biopsy of muscle tissue
HP:0030093,biopsy of muscle tissue
HP:0030094,biopsy of muscle tissue
HP:0030095,biopsy of muscle tissue
HP:0030096,biopsy of muscle tissue
HP:0030097,biopsy of muscle tissue
HP:0030099,biopsy of muscle tissue
HP:0030111,biopsy of muscle tissue
HP:0020201,biopsy of muscle tissue
HP:0020202,biopsy of muscle tissue
HP:0020203,biopsy of muscle tissue
HP:0030115,biopsy of muscle tissue
HP:0030116,biopsy of muscle tissue
HP:0030117,biopsy of muscle tissue
HP:0030114,biopsy of muscle tissue
HP:0030113,biopsy of muscle tissue
HP:0030112,biopsy of muscle tissue
HP:0030110,biopsy of muscle tissue
HP:0030119,biopsy of muscle tissue
HP:0030118,biopsy of muscle tissue
HP:0003805,biopsy of muscle tissue
HP:0003803,biopsy of muscle tissue
HP:0030098,biopsy of muscle tissue
HP:0030046,biopsy of muscle tissue
HP:0003736,biopsy of muscle tissue
HP:0031237,biopsy of muscle tissue
HP:0031238,biopsy of muscle tissue
HP:0003791,biopsy of muscle tissue
HP:0034320,biopsy of muscle tissue
HP:0034045,biopsy of muscle tissue
HP:0030120,biopsy of muscle tissue
HP:0003798,biopsy of muscle tissue
HP:0030122,biopsy of muscle tissue
HP:0030123,biopsy of muscle tissue
HP:0030124,biopsy of muscle tissue
HP:0030121,biopsy of muscle tissue
HP:0033008,biopsy of muscle tissue
HP:0003200,biopsy of muscle tissue
HP:0025200,biopsy of muscle tissue
HP:0033684,biopsy of muscle tissue
HP:0033685,biopsy of muscle tissue
HP:0003755,biopsy of muscle tissue
HP:0003789,biopsy of muscle tissue
HP:0003787,biopsy of muscle tissue
HP:0030951,biopsy of muscle tissue
